userName,age,experiment,trial,aoi,duration,x,y,datetime,datetimezero,isComparison,isAnswer,isSettings,isOffscreen,isTerminal 
user1,40,1,2,42,110,1628,444,2016-02-17T14:51:58+00:00,2016-02-17T14:51:58+00:00,0,0,0,1,1
user1,40,1,2,22,31,1601,608,2016-02-17T14:51:58+00:00,2016-02-17T14:51:58+00:00,0,0,0,0,0
user1,40,1,2,21,155,1387,602,2016-02-17T14:51:59+00:00,2016-02-17T14:51:59+00:00,0,0,0,0,1
user1,40,1,2,22,82,1578,575,2016-02-17T14:51:59+00:00,2016-02-17T14:51:59+00:00,0,0,0,0,0
user1,40,1,2,23,434,1793,627,2016-02-17T14:52:00+00:00,2016-02-17T14:52:00+00:00,0,0,0,0,1
user1,40,1,2,18,140,904,584,2016-02-17T14:52:00+00:00,2016-02-17T14:52:00+00:00,0,0,0,0,1
user1,40,1,2,16,30,499,559,2016-02-17T14:52:02+00:00,2016-02-17T14:52:02+00:00,0,0,0,0,0
user1,40,1,3,18,174,935,510,2016-02-17T14:52:08+00:00,2016-02-17T14:52:08+00:00,0,0,0,0,1
user1,40,1,3,40,104,222,8,2016-02-17T14:52:09+00:00,2016-02-17T14:52:09+00:00,1,0,0,0,0
user1,40,1,3,1,30,660,71,2016-02-17T14:52:09+00:00,2016-02-17T14:52:09+00:00,0,0,0,0,0
user1,40,1,3,2,32,932,61,2016-02-17T14:52:09+00:00,2016-02-17T14:52:09+00:00,0,0,0,0,0
user1,40,1,3,40,197,192,20,2016-02-17T14:52:11+00:00,2016-02-17T14:52:11+00:00,1,0,0,0,1
user1,40,1,3,18,173,857,613,2016-02-17T14:52:11+00:00,2016-02-17T14:52:11+00:00,0,0,0,0,1
user1,40,1,3,18,143,872,634,2016-02-17T14:52:12+00:00,2016-02-17T14:52:12+00:00,0,0,0,0,1
user1,40,1,3,40,330,232,19,2016-02-17T14:52:12+00:00,2016-02-17T14:52:12+00:00,1,0,0,0,1
user1,40,1,3,12,33,1218,396,2016-02-17T14:52:13+00:00,2016-02-17T14:52:13+00:00,0,0,0,0,0
user1,40,1,3,22,62,1550,485,2016-02-17T14:52:13+00:00,2016-02-17T14:52:13+00:00,0,0,0,0,0
user1,40,1,3,42,196,1739,247,2016-02-17T14:52:14+00:00,2016-02-17T14:52:14+00:00,0,0,0,1,1
user1,40,1,3,9,43,612,338,2016-02-17T14:52:15+00:00,2016-02-17T14:52:15+00:00,0,0,0,0,0
user1,40,1,3,42,32,868,17,2016-02-17T14:52:15+00:00,2016-02-17T14:52:15+00:00,0,0,0,1,1
user1,40,1,3,1,40,642,59,2016-02-17T14:52:16+00:00,2016-02-17T14:52:16+00:00,0,0,0,0,0
